iter	Passed	Remaining
172	6936	33159
173	6974	33108
174	7006	33031
175	7046	32992
176	7089	32963
177	7124	32901
178	7163	32855
179	7203	32817
180	7247	32791
181	7281	32728
182	7316	32666
183	7353	32610
184	7392	32565
185	7432	32527
186	7474	32494
187	7511	32445
188	7558	32435
189	7598	32392
190	7641	32365
191	7679	32315
192	7715	32259
193	7753	32214
194	7790	32158
195	7829	32115
196	7870	32079
197	7910	32040
198	7948	31992
199	7985	31943
200	8024	31898
201	8062	31851
202	8096	31789
203	8136	31746
204	8177	31711
205	8213	31656
206	8251	31609
207	8293	31577
208	8330	31530
209	8373	31500
210	8415	31467
211	8457	31438
212	8504	31421
213	8553	31415
214	8601	31405
215	8645	31380
216	8685	31338
217	8723	31291
218	8764	31256
219	8808	31229
220	8844	31177
221	8883	31131
222	8915	31063
223	8954	31019
224	8995	30982
225	9035	30945
226	9069	30884
227	9107	30836
228	9141	30779
229	9176	30721
230	9213	30671
231	9251	30625
232	9289	30579
233	9326	30531
234	9360	30472
235	9397	30423
236	9432	30368
237	9468	30313
238	9503	30259
239	9539	30208
240	9579	30169
241	9617	30122
242	9655	30078
243	9695	30040
244	9734	29999
245	9779	29975
246	9821	29942
247	9861	29902
248	9905	29875
249	9959	29879
250	9997	29832
251	10029	29770
252	10063	29712
253	10104	29676
254	10141	29629
255	10179	29585
256	10223	29555
257	10261	29511
258	10296	29459
259	10338	29426
260	10374	29375
261	10418	29345
262	10456	29300
263	10496	29263
264	10542	29240
265	10585	29210
266	10627	29176
267	10665	29130
268	10701	29081
269	10742	29044
270	10784	29010
271	10821	28963
272	10861	28923
273	10899	28879
274	10936	28831
275	10976	28793
276	11012	28743
277	11045	28685
278	11113	28719
279	11176	28740
280	11229	28734
281	11278	28715
282	11328	28700
283	11373	28674
284	11412	28631
285	11463	28617
286	11497	28562
287	11537	28522
288	11578	28486
289	11619	28447
290	11659	28408
291	11699	28367
292	11741	28332
293	11789	28311
294	11832	28276
295	11874	28241
296	11914	28201
297	11954	28161
298	11995	28123
299	12038	28088
300	12079	28051
301	12128	28031
302	12175	28008
303	12216	27968
304	12258	27933
305	12300	27897
306	12349	27876
307	12394	27848
308	12445	27830
309	12494	27809
310	12532	27765
311	12571	27722
312	12615	27688
313	12654	27645
314	12699	27617
315	12744	27586
316	12785	27548
317	12823	27501
318	12864	27463
319	12909	27432
320	12948	27389
321	12995	27362
322	13036	27324
323	13074	27278
324	13114	27237
325	13157	27203
326	13197	27162
327	13233	27112
328	13273	27071
329	13318	27040
330	13366	27016
331	13412	26987
332	13455	26952
333	13515	26950
334	13560	26919
335	13607	26891
336	13654	26862
337	13693	26820
338	13735	26782
339	13773	26737
340	13815	26699
341	13859	26664
342	13904	26634
343	13943	26588
344	13984	26550
345	14024	26507
346	14069	26476
347	14112	26439
348	14151	26396
349	14200	26371
350	14239	26329
351	14279	26287
352	14320	26247
353	14359	26203
354	14401	26165
355	14432	26108
356	14472	26067
357	14513	26027
358	14553	25986
359	14590	25938
360	14628	25893
361	14664	25844
362	14724	25838
363	14772	25811
364	14817	25777
365	14877	25771
366	14921	25735
367	14958	25689
368	14995	25643
369	15035	25600
370	15072	25553
371	15108	25506
372	15143	25455
373	15181	25410
374	15216	25361
375	15255	25317
376	15291	25269
377	15328	25222
378	15362	25172
379	15404	25133
380	15442	25089
381	15477	25039
382	15512	24989
383	15551	24946
384	15587	24899
385	15624	24853
386	15661	24808
387	15697	24760
388	15736	24717
389	15771	24668
390	15807	24621
391	15848	24580
392	15888	24540
393	15928	24499
394	15970	24461
395	16004	24411
396	16043	24368
397	16085	24329
398	16123	24286
399	16159	24238
400	16198	24196
401	16236	24152
402	16272	24105
403	16312	24065
404	16348	24018
405	16385	23972
406	16424	23930
407	16461	23885
408	16501	23844
409	16541	23803
410	16580	23760
411	16620	23721
412	16654	23670
413	16692	23627
414	16729	23582
415	16764	23534
416	16801	23490
417	16834	23439
418	16873	23396
419	16915	23358
420	16951	23312
421	16985	23264
422	17017	23212
423	17054	23168
424	17093	23126
425	17127	23078
426	17164	23033
427	17201	22989
428	17230	22934
429	17261	22881
430	17290	22826
431	17321	22774
432	17349	22718
433	17385	22673
434	17419	22625
435	17455	22580
436	17493	22537
437	17528	22490
438	17566	22448
439	17604	22405
440	17641	22362
441	17681	22321
442	17720	22280
443	17764	22245
444	17800	22200
445	17838	22157
446	17883	22123
447	17925	22086
448	17965	22047
449	18006	22008
450	18045	21966
451	18087	21928
452	18126	21887
453	18164	21844
454	18201	21801
455	18234	21753
456	18272	21711
457	18309	21667
458	18350	21629
459	18393	21592
460	18439	21558
461	18477	21517
462	18521	21481
463	18559	21439
464	18599	21398
465	18631	21350
466	18670	21308
467	18709	21268
468	18749	21228
469	18785	21183
470	18825	21143
471	18860	21098
472	18900	21057
473	18939	21016
474	18978	20975
475	19014	20932
476	19052	20889
477	19089	20846
478	19121	20798
479	19159	20756
480	19199	20716
481	19229	20665
482	19262	20618
483	19297	20573
484	19332	20528
485	19368	20484
486	19404	20440
487	19439	20395
488	19474	20351
489	19514	20310
490	19546	20263
491	19585	20222
492	19627	20184
493	19668	20146
494	19700	20098
495	19735	20054
496	19770	20009
497	19817	19977
498	19859	19938
499	19903	19903
500	19943	19863
501	19987	19828
502	20027	19788
503	20065	19746
504	20104	19706
505	20144	19666
506	20177	19620
507	20218	19582
508	20258	19542
509	20295	19499
510	20336	19460
511	20377	19421
512	20420	19385
513	20461	19346
514	20500	19306
515	20533	19260
516	20569	19217
517	20606	19174
518	20645	19133
519	20684	19093
520	20721	19050
521	20759	19009
522	20795	18966
523	20835	18927
524	20871	18883
525	20905	18838
526	20941	18795
527	20977	18752
528	21014	18710
529	21052	18668
530	21087	18625
531	21127	18585
532	21167	18546
533	21203	18503
534	21240	18461
535	21277	18418
536	21313	18376
537	21356	18339
538	21394	18298
539	21433	18257
540	21478	18222
541	21515	18180
542	21556	18142
543	21599	18105
544	21631	18059
545	21670	18019
546	21709	17978
547	21747	17937
548	21791	17901
549	21831	17861
550	21869	17821
551	21906	17779
552	21944	17737
553	21980	17695
554	22015	17652
555	22051	17609
556	22092	17570
557	22131	17530
558	22171	17491
559	22207	17448
560	22247	17409
561	22282	17366
562	22319	17324
563	22358	17284
564	22394	17241
565	22436	17204
566	22474	17163
567	22517	17126
568	22555	17084
569	22592	17043
570	22630	17002
571	22668	16961
572	22703	16918
573	22747	16882
574	22788	16843
575	22827	16803
576	22862	16760
577	22892	16713
578	22926	16670
579	22958	16625
580	22993	16582
581	23028	16539
582	23068	16500
583	23111	16462
584	23145	16419
585	23176	16373
586	23210	16330
587	23240	16283
588	23275	16241
589	23311	16199
590	23351	16160
591	23393	16122
592	23435	16084
593	23471	16042
594	23503	15998
595	23537	15955
596	23576	15915
597	23610	15871
598	23653	15834
599	23691	15794
600	23723	15750
601	23756	15706
602	23792	15664
603	23827	15622
604	23862	15579
605	23902	15540
606	23938	15498
607	23978	15459
608	24008	15414
609	24038	15368
610	24069	15324
611	24102	15280
612	24141	15240
613	24182	15202
614	24223	15164
615	24260	15123
616	24299	15083
617	24341	15046
618	24381	15007
619	24418	14966
620	24456	14926
621	24496	14886
622	24534	14846
623	24572	14806
624	24604	14762
625	24642	14722
626	24676	14680
627	24707	14635
628	24739	14592
629	24777	14552
630	24816	14512
631	24855	14472
632	24887	14429
633	24918	14385
634	24955	14344
635	24989	14302
636	25028	14262
637	25069	14224
638	25108	14184
639	25147	14145
640	25180	14102
641	25218	14062
642	25254	14021
643	25298	13985
644	25335	13944
645	25373	13904
646	25413	13865
647	25450	13824
648	25486	13784
649	25526	13744
650	25565	13705
651	25603	13665
652	25644	13627
653	25680	13586
654	25717	13546
655	25755	13505
656	25799	13469
657	25841	13431
658	25881	13392
659	25925	13355
660	25968	13317
661	26005	13277
662	26047	13240
663	26086	13200
664	26126	13161
665	26158	13118
666	26192	13076
667	26224	13033
668	26259	12992
669	26297	12952
670	26336	12913
671	26368	12870
672	26403	12829
673	26440	12788
674	26477	12748
675	26510	12706
676	26550	12667
677	26589	12628
678	26621	12585
679	26653	12542
680	26686	12500
681	26715	12456
682	26749	12415
683	26783	12373
684	26816	12331
685	26847	12288
686	26879	12246
687	26913	12204
688	26943	12161
689	26975	12119
690	27003	12075
691	27040	12035
692	27070	11992
693	27100	11949
694	27129	11905
695	27164	11864
696	27203	11825
697	27239	11785
698	27275	11745
699	27315	11706
700	27357	11668
701	27407	11634
702	27438	11592
703	27467	11548
704	27498	11506
705	27528	11463
706	27565	11423
707	27607	11386
708	27646	11347
709	27685	11308
710	27722	11268
711	27755	11226
712	27790	11186
713	27829	11147
714	27862	11105
715	27899	11066
716	27930	11024
717	27959	10981
718	27998	10942
719	28038	10903
720	28068	10861
721	28101	10820
722	28135	10779
723	28168	10738
724	28207	10699
725	28259	10665
726	28307	10630
727	28354	10594
728	28398	10556
729	28438	10518
730	28486	10482
731	28518	10441
732	28564	10404
733	28605	10366
734	28643	10327
735	28681	10288
736	28712	10246
737	28752	10207
738	28783	10165
739	28814	10123
740	28854	10085
741	28889	10045
742	28928	10006
743	28966	9967
744	28999	9926
745	29034	9885
746	29076	9847
747	29113	9808
748	29149	9768
749	29181	9727
750	29217	9687
751	29253	9647
752	29281	9605
753	29315	9564
754	29351	9524
755	29390	9485
756	29431	9447
757	29463	9406
758	29499	9366
759	29537	9327
760	29570	9286
761	29615	9250
762	29659	9212
763	29705	9175
764	29744	9137
765	29801	9103
766	29832	9062
767	29873	9024
768	29906	8983
769	29939	8942
770	29970	8901
771	30012	8863
772	30055	8825
773	30092	8786
774	30122	8745
775	30166	8707
776	30195	8666
777	30234	8627
778	30269	8587
779	30308	8548
780	30349	8510
781	30390	8471
782	30428	8432
783	30472	8395
784	30501	8353
785	30536	8314
786	30567	8272
787	30605	8234
788	30635	8192
789	30669	8152
790	30704	8112
791	30737	8072
792	30766	8031
793	30799	7990
794	30830	7950
795	30862	7909
796	30893	7868
797	30929	7829
798	30959	7788
799	30988	7747
800	31020	7706
801	31052	7666
802	31087	7626
803	31117	7585
804	31146	7544
805	31179	7504
806	31208	7463
807	31241	7423
808	31273	7383
809	31305	7343
810	31339	7303
811	31374	7264
812	31410	7224
813	31447	7185
814	31484	7146
815	31521	7107
816	31551	7067
817	31581	7026
818	31616	6987
819	31652	6948
820	31685	6908
821	31719	6868
822	31757	6829
823	31802	6792
824	31842	6754
825	31883	6716
826	31919	6677
827	31956	6638
828	31992	6599
829	32032	6560
830	32068	6521
831	32100	6481
832	32135	6442
833	32171	6403
834	32203	6363
835	32238	6324
836	32279	6286
837	32319	6247
838	32361	6210
839	32400	6171
840	32435	6132
841	32470	6093
842	32509	6054
843	32545	6015
844	32582	5976
845	32617	5937
846	32656	5899
847	32691	5859
848	32724	5820
849	32773	5783
850	32815	5745
851	32852	5706
852	32888	5667
853	32923	5628
854	32956	5589
855	32988	5549
856	33022	5510
857	33061	5471
858	33102	5433
859	33143	5395
860	33181	5356
861	33216	5317
862	33260	5280
863	33301	5241
864	33346	5204
865	33394	5167
866	33442	5130
867	33480	5091
868	33527	5054
869	33574	5016
870	33605	4977
871	33636	4937
872	33667	4897
873	33699	4858
874	33731	4818
875	33768	4779
876	33801	4740
877	33837	4701
878	33873	4662
879	33910	4624
880	33951	4585
881	33985	4546
882	34024	4508
883	34057	4469
884	34096	4430
885	34135	4392
886	34169	4353
887	34208	4314
888	34238	4275
889	34269	4235
890	34305	4196
891	34338	4157
892	34368	4118
893	34403	4079
894	34436	4040
895	34471	4001
896	34504	3962
897	34537	3922
898	34570	3883
899	34611	3845
900	34650	3807
901	34688	3768
902	34728	3730
903	34761	3691
904	34796	3652
905	34832	3613
906	34870	3575
907	34905	3536
908	34941	3497
909	34978	3459
910	35016	3420
911	35046	3381
912	35081	3342
913	35111	3303
914	35146	3264
915	35183	3226
916	35215	3187
917	35246	3148
918	35285	3110
919	35320	3071
920	35354	3032
921	35394	2994
922	35430	2955
923	35465	2917
924	35501	2878
925	35539	2840
926	35571	2801
927	35607	2762
928	35644	2724
929	35679	2685
930	35717	2647
931	35762	2609
932	35798	2570
933	35834	2532
934	35868	2493
935	35910	2455
936	35942	2416
937	35977	2378
938	36015	2339
939	36047	2300
940	36082	2262
941	36118	2223
942	36154	2185
943	36186	2146
944	36225	2108
945	36262	2069
946	36301	2031
947	36337	1993
948	36377	1954
949	36413	1916
950	36451	1878
951	36488	1839
952	36524	1801
953	36559	1762
954	36594	1724
955	36630	1685
956	36667	1647
957	36703	1609
958	36739	1570
959	36779	1532
960	36814	1494
961	36849	1455
962	36884	1417
963	36920	1378
964	36955	1340
965	36991	1301
966	37029	1263
967	37061	1225
968	37098	1186
969	37135	1148
970	37170	1110
971	37206	1071
972	37241	1033
973	37276	995
974	37312	956
975	37347	918
976	37383	880
977	37418	841
978	37454	803
979	37492	765
980	37526	726
981	37562	688
982	37599	650
983	37635	611
984	37671	573
985	37708	535
986	37740	497
987	37778	458
988	37814	420
989	37851	382
990	37889	344
991	37925	305
992	37958	267
993	37995	229
994	38033	191
995	38070	152
996	38107	114
997	38145	76
998	38187	38
999	38225	0
